"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"79576","18","State","null","INDIANA","5638","null","DISCH012A","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","6691878","null","null","null","2018","9771","84.3","null","null","2018","2110270.168044281","1820745","All","Published"
"86398","18001","County","3","Adams","11","null","DISCH012A","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","35636","U","null","null","2018","8650","30.9","null","null","2018","162629.5984913619","1820746","All","Published"
"92897","18003","County","3","Allen","250","null","DISCH012A","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","375351","null","null","null","2018","8194","66.6","null","null","2018","221440.73761390639","1820747","All","Published"
"124","18005","County","8","Bartholomew","107","null","DISCH012A","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","82753","null","null","null","2018","9607","129.3","null","null","2018","175525.08057116377","1820748","All","Published"
"6959","18007","County","4","Benton","5","null","DISCH012A","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","8653","U","null","null","2018","9725","57.8","null","null","2018","172421.77765137676","1820749","All","Published"
"13616","18009","County","6","Blackford","21","null","DISCH012A","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","11930","null","null","null","2018","9371","176","null","null","2018","109367.34192007003","1820750","All","Published"
"19992","18011","County","5","Boone","50","null","DISCH012A","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","66999","null","null","null","2018","9199","74.6","null","null","2018","175234.8110283405","1820751","All","Published"
"26736","18013","County","8","Brown","5","null","DISCH012A","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","15234","U","null","null","2018","8518","32.8","null","null","2018","150101.6167605461","1820752","All","Published"
"66155","18015","County","4","Carroll","7","null","DISCH012A","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","20127","U","null","null","2018","9326","34.8","null","null","2018","175424.4597740168","1820753","All","Published"
"72728","18017","County","4","Cass","22","null","DISCH012A","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","37955","null","null","null","2018","8281","58","null","null","2018","195024.71491540148","1820754","All","Published"
"33118","18019","County","9","Clark","99","null","DISCH012A","null","null","null","null","All","All","Year","null","1588412599.121614","null","1","null","null","117360","null","null","null","2018","9295","84.4","null","null","2018","197621.11083457182","1820755","All","Published"
"39917","18021","County","7","Clay","5","null","DISCH012A","null","null","null","null","All","All","Year","null","1565006845.8411417","null","1","null","null","26170","U","null","null","2018","10056","19.1","null","null","2018","192237.55188481134","1820756","All","Published"
"46278","18023","County","4","Clinton","27","null","DISCH012A","null","null","null","null","All","All","Year","null","1806432499.484373","null","1","null","null","32250","null","null","null","2018","8487","83.7","null","null","2018","174382.06613417095","1820757","All","Published"
"52937","18025","County","10","Crawford","5","null","DISCH012A","null","null","null","null","All","All","Year","null","1308546884.5425615","null","1","null","null","10558","U","null","null","2018","8400","47.4","null","null","2018","195184.71788809556","1820758","All","Published"
"59367","18027","County","10","Daviess","9","null","DISCH012A","null","null","null","null","All","All","Year","null","1878247368.2323859","null","1","null","null","33147","U","null","null","2018","8807","27.2","null","null","2018","192655.75614222788","1820759","All","Published"
"145087","18029","County","9","Dearborn","25","null","DISCH012A","null","null","null","null","All","All","Year","null","1329448616.5470636","null","1","null","null","49568","null","null","null","2018","443287","50.4","null","null","2018","157834.76234884912","1820760","All","Published"
"151718","18031","County","9","Decatur","18","null","DISCH012A","null","null","null","null","All","All","Year","null","1615195765.6479964","null","1","null","null","26794","U","null","null","2018","440958","67.2","null","null","2018","165078.23331480008","1820761","All","Published"
"153796","18033","County","3","DeKalb","17","null","DISCH012A","null","null","null","null","All","All","Year","null","1674555397.31401","null","1","null","null","43226","U","null","null","2018","8193","39.3","null","null","2018","163996.67482293304","1820762","All","Published"
"160428","18035","County","6","Delaware","216","null","DISCH012A","null","null","null","null","All","All","Year","null","1760647932.9914546","null","1","null","null","114772","null","null","null","2018","8079","188.2","null","null","2018","168366.29581379177","1820763","All","Published"
"167269","18037","County","10","Dubois","6","null","DISCH012A","null","null","null","null","All","All","Year","null","1825931759.792058","null","1","null","null","42565","U","null","null","2018","8574","14.1","null","null","2018","183146.67387045993","1820764","All","Published"
"173858","18039","County","2","Elkhart","64","null","DISCH012A","null","null","null","null","All","All","Year","null","2172529921.2321935","null","1","null","null","205560","null","null","null","2018","9538","31.1","null","null","2018","186294.45905187665","1820765","All","Published"
