"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"79583","18","State","null","INDIANA","5064","null","DISCH012A","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","6732219","null","null","null","2019","9974","75.2","null","1","2019","2110270.168044281","1820838","All","Published"
"86411","18001","County","3","Adams","13","null","DISCH012A","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","35777","U","null","null","2019","9749","36.3","null","1","2019","162629.5984913619","1820839","All","Published"
"97526","18003","County","3","Allen","269","null","DISCH012A","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","379299","null","null","null","2019","440953","70.9","null","1","2019","221440.73761390639","1820840","All","Published"
"4755","18005","County","8","Bartholomew","84","null","DISCH012A","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","83779","null","null","null","2019","441739","100.3","null","1","2019","175525.08057116377","1820841","All","Published"
"6949","18007","County","4","Benton","0","null","DISCH012A","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","8748","U","null","null","2019","8372","0","null","1","2019","172421.77765137676","1820842","All","Published"
"13619","18009","County","6","Blackford","14","null","DISCH012A","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","11758","U","null","null","2019","9537","119.1","null","1","2019","109367.34192007003","1820843","All","Published"
"19987","18011","County","5","Boone","38","null","DISCH012A","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","67843","null","null","null","2019","8671","56","null","1","2019","175234.8110283405","1820844","All","Published"
"26749","18013","County","8","Brown","0","null","DISCH012A","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","15092","U","null","null","2019","9409","0","null","1","2019","150101.6167605461","1820845","All","Published"
"66159","18015","County","4","Carroll","7","null","DISCH012A","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","20257","U","null","null","2019","9463","34.6","null","1","2019","175424.4597740168","1820846","All","Published"
"72732","18017","County","4","Cass","19","null","DISCH012A","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","37689","U","null","null","2019","8513","50.4","null","1","2019","195024.71491540148","1820847","All","Published"
