"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"79566","18","State","null","INDIANA","6499","null","DISCH012A","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","6633053","null","null","null","2016","8214","98","null","null","2016","2110270.168044281","1820559","All","Published"
"86402","18001","County","3","Adams","24","null","DISCH012A","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","35232","null","null","null","2016","8911","68.1","null","null","2016","162629.5984913619","1820560","All","Published"
"92909","18003","County","3","Allen","244","null","DISCH012A","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","370404","null","null","null","2016","9357","65.9","null","null","2016","221440.73761390639","1820561","All","Published"
"107","18005","County","8","Bartholomew","137","null","DISCH012A","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","81402","null","null","null","2016","8082","168.3","null","null","2016","175525.08057116377","1820562","All","Published"
"6945","18007","County","4","Benton","0","null","DISCH012A","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","8650","U","null","null","2016","8266","0","null","null","2016","172421.77765137676","1820563","All","Published"
"13612","18009","County","6","Blackford","22","null","DISCH012A","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","12149","null","null","null","2016","9083","181.1","null","null","2016","109367.34192007003","1820564","All","Published"
"19980","18011","County","5","Boone","60","null","DISCH012A","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","64653","null","null","null","2016","8181","92.8","null","null","2016","175234.8110283405","1820565","All","Published"
"26734","18013","County","8","Brown","0","null","DISCH012A","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","14912","U","null","null","2016","8228","0","null","null","2016","150101.6167605461","1820566","All","Published"
"66154","18015","County","4","Carroll","8","null","DISCH012A","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","19970","U","null","null","2016","8972","40.1","null","null","2016","175424.4597740168","1820567","All","Published"
"72729","18017","County","4","Cass","19","null","DISCH012A","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","37946","U","null","null","2016","8312","50.1","null","null","2016","195024.71491540148","1820568","All","Published"
"33120","18019","County","9","Clark","171","null","DISCH012A","null","null","null","null","All","All","Year","null","1588412599.121614","null","1","null","null","116031","null","null","null","2016","9423","147.4","null","null","2016","197621.11083457182","1820569","All","Published"
"39905","18021","County","7","Clay","11","null","DISCH012A","null","null","null","null","All","All","Year","null","1565006845.8411417","null","1","null","null","26309","U","null","null","2016","9031","41.8","null","null","2016","192237.55188481134","1820570","All","Published"
"46279","18023","County","4","Clinton","36","null","DISCH012A","null","null","null","null","All","All","Year","null","1806432499.484373","null","1","null","null","32457","null","null","null","2016","8490","110.9","null","null","2016","174382.06613417095","1820571","All","Published"
"52936","18025","County","10","Crawford","12","null","DISCH012A","null","null","null","null","All","All","Year","null","1308546884.5425615","null","1","null","null","10539","U","null","null","2016","8297","113.9","null","null","2016","195184.71788809556","1820572","All","Published"
