Day,station,day,speed,direction,gust,avgvect,gustvect
66,ACRE,67,2.190496,227,7.197344,"(-1.494, -1.602)","(-4.909, -5.264)"
67,ACRE,68,2.592832,286,10.103104,"(0.715, -2.492)","(2.785, -9.712)"
68,ACRE,69,2.592832,357,7.5102720000000005,"(2.589, -0.136)","(7.5, -0.393)"
69,ACRE,70,5.096256,307,12.785344,"(3.067, -4.07)","(7.694, -10.211)"
70,ACRE,71,6.079744,289,12.785344,"(1.979, -5.749)","(4.163, -12.089)"
71,ACRE,72,5.185664,219,14.886432,"(-4.03, -3.263)","(-11.569, -9.368)"
72,ACRE,73,4.291583999999999,195,13.321792,"(-4.145, -1.111)","(-12.868, -3.448)"
73,ACRE,74,2.592832,231,7.5102720000000005,"(-1.632, -2.015)","(-4.726, -5.837)"
74,ACRE,75,2.01168,193,9.119615999999999,"(-1.96, -0.453)","(-8.886, -2.051)"
75,ACRE,76,2.190496,210,9.119615999999999,"(-1.897, -1.095)","(-7.898, -4.56)"
76,ACRE,77,2.190496,121,8.314944,"(-1.128, 1.878)","(-4.283, 7.127)"
77,ACRE,78,4.604512000000001,256,10.907775999999998,"(-1.114, -4.468)","(-2.639, -10.584)"
78,ACRE,79,2.503424,228,10.103104,"(-1.675, -1.86)","(-6.76, -7.508)"
79,ACRE,80,2.995168,187,11.712448,"(-2.973, -0.365)","(-11.625, -1.427)"
80,ACRE,81,5.096256,120,18.418048000000002,"(-2.548, 4.413)","(-9.209, 15.95)"
81,ACRE,82,4.69392,194,13.902944,"(-4.554, -1.136)","(-13.49, -3.363)"
82,ACRE,83,4.91744,217,11.712448,"(-3.927, -2.959)","(-9.354, -7.049)"
83,ACRE,84,5.722112,267,17.300448,"(-0.299, -5.714)","(-0.905, -17.277)"
84,ACRE,85,4.202176,297,13.321792,"(1.908, -3.744)","(6.048, -11.87)"
85,ACRE,86,3.978656,307,9.298432,"(2.394, -3.177)","(5.596, -7.426)"
86,ACRE,87,2.503424,5,7.689088,"(2.494, 0.218)","(7.66, 0.67)"
87,ACRE,88,5.409184,106,13.590015999999999,"(-1.491, 5.2)","(-3.746, 13.064)"
88,ACRE,89,4.69392,165,15.19936,"(-4.534, 1.215)","(-14.681, 3.934)"
89,ACRE,90,6.213856,241,17.300448,"(-3.013, -5.435)","(-8.387, -15.131)"
90,ACRE,91,2.995168,286,8.806688,"(0.826, -2.879)","(2.427, -8.466)"
91,ACRE,92,3.889248,234,13.590015999999999,"(-2.286, -3.146)","(-7.988, -10.995)"
92,ACRE,93,2.101088,256,6.392672,"(-0.508, -2.039)","(-1.547, -6.203)"
93,ACRE,94,3.889248,251,12.51712,"(-1.266, -3.677)","(-4.075, -11.835)"
94,ACRE,95,2.503424,113,6.884416,"(-0.978, 2.304)","(-2.69, 6.337)"
95,ACRE,96,4.291583999999999,227,11.220704000000001,"(-2.927, -3.139)","(-7.653, -8.206)"
96,ACRE,97,5.722112,242,14.394688,"(-2.686, -5.052)","(-6.758, -12.71)"
97,ACRE,98,4.380992,264,10.684256,"(-0.458, -4.357)","(-1.117, -10.626)"
98,ACRE,99,4.112768,292,11.712448,"(1.541, -3.813)","(4.388, -10.86)"
99,ACRE,100,4.112768,144,12.785344,"(-3.327, 2.417)","(-10.344, 7.515)"
100,ACRE,101,2.414016,249,8.314944,"(-0.865, -2.254)","(-2.98, -7.763)"
101,ACRE,102,3.486912,137,10.907775999999998,"(-2.55, 2.378)","(-7.977, 7.439)"
102,ACRE,103,4.783328,201,13.321792,"(-4.466, -1.714)","(-12.437, -4.774)"
103,ACRE,104,6.884416,238,18.686272,"(-3.648, -5.838)","(-9.902, -15.847)"
104,ACRE,105,4.515104,217,15.19936,"(-3.606, -2.717)","(-12.139, -9.147)"
105,ACRE,106,4.604512000000001,298,11.712448,"(2.162, -4.066)","(5.499, -10.341)"
106,ACRE,107,4.112768,75,10.103104,"(1.064, 3.973)","(2.615, 9.759)"
107,ACRE,108,4.380992,287,13.590015999999999,"(1.281, -4.19)","(3.973, -12.996)"
108,ACRE,109,4.202176,286,11.980672,"(1.158, -4.039)","(3.302, -11.517)"
109,ACRE,110,4.202176,141,16.495776,"(-3.266, 2.645)","(-12.82, 10.381)"
110,ACRE,111,3.889248,232,12.785344,"(-2.394, -3.065)","(-7.871, -10.075)"
111,ACRE,112,2.995168,122,10.907775999999998,"(-1.587, 2.54)","(-5.78, 9.25)"
112,ACRE,113,4.783328,177,15.19936,"(-4.777, 0.25)","(-15.179, 0.795)"
113,ACRE,114,6.079744,200,17.121631999999998,"(-5.713, -2.079)","(-16.089, -5.856)"
114,ACRE,115,4.202176,283,10.684256,"(0.945, -4.094)","(2.403, -10.41)"
115,ACRE,116,4.783328,283,10.907775999999998,"(1.076, -4.661)","(2.454, -10.628)"
116,ACRE,117,2.414016,42,7.689088,"(1.794, 1.615)","(5.714, 5.145)"
117,ACRE,118,3.79984,110,8.002016,"(-1.3, 3.571)","(-2.737, 7.519)"
118,ACRE,119,4.604512000000001,115,10.416032,"(-1.946, 4.173)","(-4.402, 9.44)"
119,ACRE,120,4.783328,147,11.488928,"(-4.012, 2.605)","(-9.635, 6.257)"
120,ACRE,121,4.69392,255,11.712448,"(-1.215, -4.534)","(-3.031, -11.313)"
121,ACRE,122,2.592832,260,8.314944,"(-0.45, -2.553)","(-1.444, -8.189)"
122,ACRE,123,4.69392,313,10.103104,"(3.201, -3.433)","(6.89, -7.389)"
123,ACRE,124,3.084576,14,7.689088,"(2.993, 0.746)","(7.461, 1.86)"
124,ACRE,125,3.218688,93,7.689088,"(-0.168, 3.214)","(-0.402, 7.679)"
125,ACRE,126,4.202176,71,11.220704000000001,"(1.368, 3.973)","(3.653, 10.609)"
126,ACRE,127,4.380992,53,9.879584000000001,"(2.637, 3.499)","(5.946, 7.89)"
127,ACRE,128,4.291583999999999,124,11.712448,"(-2.4, 3.558)","(-6.55, 9.71)"
128,ACRE,129,4.91744,150,12.785344,"(-4.259, 2.459)","(-11.072, 6.393)"
129,ACRE,130,3.218688,185,9.119615999999999,"(-3.206, -0.281)","(-9.085, -0.795)"
130,ACRE,131,2.2799039999999997,160,7.5102720000000005,"(-2.142, 0.78)","(-7.057, 2.569)"
131,ACRE,132,2.503424,150,7.197344,"(-2.168, 1.252)","(-6.233, 3.599)"
132,ACRE,133,2.190496,157,7.197344,"(-2.016, 0.856)","(-6.625, 2.812)"
133,ACRE,134,1.922272,172,26.107136,"(-1.904, 0.268)","(-25.853, 3.633)"
134,ACRE,135,2.503424,283,11.980672,"(0.563, -2.439)","(2.695, -11.674)"
135,ACRE,136,3.621024,283,10.907775999999998,"(0.815, -3.528)","(2.454, -10.628)"
136,ACRE,137,2.414016,51,6.7056,"(1.519, 1.876)","(4.22, 5.211)"
137,ACRE,138,2.995168,170,7.689088,"(-2.95, 0.52)","(-7.572, 1.335)"
138,ACRE,139,3.308096,194,11.980672,"(-3.21, -0.8)","(-11.625, -2.898)"
139,ACRE,140,5.722112,207,17.8816,"(-5.098, -2.598)","(-15.933, -8.118)"
140,ACRE,141,3.621024,340,13.098272,"(3.403, -1.238)","(12.308, -4.48)"
141,ACRE,142,3.621024,334,9.298432,"(3.255, -1.587)","(8.357, -4.076)"
142,ACRE,143,3.3975039999999996,63,9.879584000000001,"(1.542, 3.027)","(4.485, 8.803)"
143,ACRE,144,3.978656,94,9.298432,"(-0.278, 3.969)","(-0.649, 9.276)"
144,ACRE,145,4.291583999999999,157,13.590015999999999,"(-3.95, 1.677)","(-12.51, 5.31)"
145,ACRE,146,3.3975039999999996,173,9.298432,"(-3.372, 0.414)","(-9.229, 1.133)"
146,ACRE,147,3.7104320000000004,299,11.980672,"(1.799, -3.245)","(5.808, -10.479)"
147,ACRE,148,2.101088,230,6.079744,"(-1.351, -1.61)","(-3.908, -4.657)"
148,ACRE,149,3.308096,182,9.298432,"(-3.306, -0.115)","(-9.293, -0.325)"
149,ACRE,150,3.978656,191,12.51712,"(-3.906, -0.759)","(-12.287, -2.388)"
150,ACRE,151,3.79984,207,11.220704000000001,"(-3.386, -1.725)","(-9.998, -5.094)"
151,ACRE,152,3.218688,278,9.119615999999999,"(0.448, -3.187)","(1.269, -9.031)"
152,ACRE,153,2.592832,315,9.61136,"(1.833, -1.833)","(6.796, -6.796)"
153,ACRE,154,2.995168,292,10.907775999999998,"(1.122, -2.777)","(4.086, -10.114)"
154,ACRE,155,1.6987519999999998,94,10.103104,"(-0.118, 1.695)","(-0.705, 10.078)"
155,ACRE,156,2.190496,178,8.002016,"(-2.189, 0.076)","(-7.997, 0.279)"
156,ACRE,157,3.084576,210,9.61136,"(-2.671, -1.542)","(-8.324, -4.806)"
157,ACRE,158,2.90576,348,7.197344,"(2.842, -0.604)","(7.04, -1.496)"
158,ACRE,159,2.503424,89,17.300448,"(0.044, 2.503)","(0.302, 17.298)"
159,ACRE,160,3.3975039999999996,309,10.416032,"(2.138, -2.64)","(6.555, -8.095)"
160,ACRE,161,1.6987519999999998,235,9.298432,"(-0.974, -1.392)","(-5.333, -7.617)"
161,ACRE,162,2.01168,164,7.5102720000000005,"(-1.934, 0.554)","(-7.219, 2.07)"
162,ACRE,163,1.296416,151,6.7056,"(-1.134, 0.629)","(-5.865, 3.251)"
163,ACRE,164,2.101088,152,9.298432,"(-1.855, 0.986)","(-8.21, 4.365)"
164,ACRE,165,2.68224,203,6.884416,"(-2.469, -1.048)","(-6.337, -2.69)"
165,ACRE,166,3.218688,202,9.119615999999999,"(-2.984, -1.206)","(-8.456, -3.416)"
166,ACRE,167,3.79984,245,9.298432,"(-1.606, -3.444)","(-3.93, -8.427)"
167,ACRE,168,3.218688,312,10.907775999999998,"(2.154, -2.392)","(7.299, -8.106)"
168,ACRE,169,3.218688,38,7.689088,"(2.536, 1.982)","(6.059, 4.734)"
169,ACRE,170,1.6987519999999998,173,6.392672,"(-1.686, 0.207)","(-6.345, 0.779)"
170,ACRE,171,2.592832,209,6.7056,"(-2.268, -1.257)","(-5.865, -3.251)"
171,ACRE,172,3.084576,225,9.298432,"(-2.181, -2.181)","(-6.575, -6.575)"
172,ACRE,173,3.084576,317,9.119615999999999,"(2.256, -2.104)","(6.67, -6.22)"
173,ACRE,174,1.78816,19,6.079744,"(1.691, 0.582)","(5.749, 1.979)"
174,ACRE,175,0.983488,38,7.5102720000000005,"(0.775, 0.605)","(5.918, 4.624)"
175,ACRE,176,1.609344,168,8.002016,"(-1.574, 0.335)","(-7.827, 1.664)"
176,ACRE,177,4.202176,291,10.103104,"(1.506, -3.923)","(3.621, -9.432)"
177,ACRE,178,2.995168,325,9.119615999999999,"(2.453, -1.718)","(7.47, -5.231)"
178,ACRE,179,1.385824,202,6.392672,"(-1.285, -0.519)","(-5.927, -2.395)"
179,ACRE,180,2.592832,219,7.197344,"(-2.015, -1.632)","(-5.593, -4.529)"
180,ACRE,181,2.503424,209,7.689088,"(-2.19, -1.214)","(-6.725, -3.728)"
181,ACRE,182,2.995168,261,13.098272,"(-0.469, -2.958)","(-2.049, -12.937)"
182,ACRE,183,2.101088,14,6.7056,"(2.039, 0.508)","(6.506, 1.622)"
183,ACRE,184,1.6987519999999998,85,7.5102720000000005,"(0.148, 1.692)","(0.655, 7.482)"
184,ACRE,185,2.01168,189,8.314944,"(-1.987, -0.315)","(-8.213, -1.301)"
185,ACRE,186,3.218688,250,8.314944,"(-1.101, -3.025)","(-2.844, -7.813)"
186,ACRE,187,2.8163519999999997,360,11.712448,"(2.816, -0.0)","(11.712, -0.0)"
187,ACRE,188,2.101088,97,6.884416,"(-0.256, 2.085)","(-0.839, 6.833)"
188,ACRE,189,2.414016,94,8.806688,"(-0.168, 2.408)","(-0.614, 8.785)"
189,ACRE,190,3.218688,54,7.689088,"(1.892, 2.604)","(4.52, 6.221)"
190,ACRE,191,1.296416,41,5.096256,"(0.978, 0.851)","(3.846, 3.343)"
191,ACRE,192,2.592832,228,8.314944,"(-1.735, -1.927)","(-5.564, -6.179)"
192,ACRE,193,3.621024,294,8.314944,"(1.473, -3.308)","(3.382, -7.596)"
193,ACRE,194,2.414016,293,9.879584000000001,"(0.943, -2.222)","(3.86, -9.094)"
194,ACRE,195,1.519936,331,6.392672,"(1.329, -0.737)","(5.591, -3.099)"
195,ACRE,196,1.385824,143,4.783328,"(-1.107, 0.834)","(-3.82, 2.879)"
196,ACRE,197,1.78816,165,6.7056,"(-1.727, 0.463)","(-6.477, 1.736)"
197,ACRE,198,1.922272,261,7.5102720000000005,"(-0.301, -1.899)","(-1.175, -7.418)"
198,ACRE,199,1.385824,325,4.783328,"(1.135, -0.795)","(3.918, -2.744)"
199,ACRE,200,1.78816,210,6.7056,"(-1.549, -0.894)","(-5.807, -3.353)"
200,ACRE,201,3.978656,249,11.488928,"(-1.426, -3.714)","(-4.117, -10.726)"
201,ACRE,202,2.995168,260,8.49376,"(-0.52, -2.95)","(-1.475, -8.365)"
202,ACRE,203,1.6987519999999998,258,6.079744,"(-0.353, -1.662)","(-1.264, -5.947)"
203,ACRE,204,2.592832,164,17.300448,"(-2.492, 0.715)","(-16.63, 4.769)"
204,ACRE,205,2.414016,216,7.5102720000000005,"(-1.953, -1.419)","(-6.076, -4.414)"
205,ACRE,206,1.609344,335,5.319776,"(1.459, -0.68)","(4.821, -2.248)"
206,ACRE,207,1.922272,155,5.096256,"(-1.742, 0.812)","(-4.619, 2.154)"
207,ACRE,208,2.190496,240,7.197344,"(-1.095, -1.897)","(-3.599, -6.233)"
208,ACRE,209,2.2799039999999997,276,8.314944,"(0.238, -2.267)","(0.869, -8.269)"
209,ACRE,210,2.190496,293,7.5102720000000005,"(0.856, -2.016)","(2.934, -6.913)"
210,ACRE,211,0.983488,338,6.079744,"(0.912, -0.368)","(5.637, -2.278)"
211,ACRE,212,1.519936,192,6.884416,"(-1.487, -0.316)","(-6.734, -1.431)"
212,ACRE,213,3.218688,241,10.103104,"(-1.56, -2.815)","(-4.898, -8.836)"
213,ACRE,214,1.6987519999999998,212,7.689088,"(-1.441, -0.9)","(-6.521, -4.075)"
214,ACRE,215,3.3975039999999996,211,13.098272,"(-2.912, -1.75)","(-11.227, -6.746)"
215,ACRE,216,1.519936,187,6.079744,"(-1.509, -0.185)","(-6.034, -0.741)"
216,ACRE,217,1.207008,162,4.515104,"(-1.148, 0.373)","(-4.294, 1.395)"
217,ACRE,218,1.519936,197,5.9009279999999995,"(-1.454, -0.444)","(-5.643, -1.725)"
218,ACRE,219,2.101088,212,10.907775999999998,"(-1.782, -1.113)","(-9.25, -5.78)"
219,ACRE,220,2.995168,233,7.5102720000000005,"(-1.803, -2.392)","(-4.52, -5.998)"
220,ACRE,221,2.101088,28,6.884416,"(1.855, 0.986)","(6.079, 3.232)"
221,ACRE,222,1.296416,359,5.9009279999999995,"(1.296, -0.023)","(5.9, -0.103)"
222,ACRE,223,2.101088,358,8.314944,"(2.1, -0.073)","(8.31, -0.29)"
223,ACRE,224,1.385824,65,5.588,"(0.586, 1.256)","(2.362, 5.064)"
224,ACRE,225,1.922272,183,7.689088,"(-1.92, -0.101)","(-7.679, -0.402)"
225,ACRE,226,2.190496,112,6.079744,"(-0.821, 2.031)","(-2.278, 5.637)"
226,ACRE,227,2.503424,37,7.197344,"(1.999, 1.507)","(5.748, 4.331)"
227,ACRE,228,1.6987519999999998,39,5.9009279999999995,"(1.32, 1.069)","(4.586, 3.714)"
228,ACRE,229,1.609344,35,6.079744,"(1.318, 0.923)","(4.98, 3.487)"
229,ACRE,230,0.804672,327,5.588,"(0.675, -0.438)","(4.686, -3.043)"
230,ACRE,231,1.296416,200,8.49376,"(-1.218, -0.443)","(-7.982, -2.905)"
231,ACRE,232,1.78816,159,8.49376,"(-1.669, 0.641)","(-7.93, 3.044)"
232,ACRE,233,1.78816,319,7.689088,"(1.35, -1.173)","(5.803, -5.044)"
233,ACRE,234,1.519936,322,6.392672,"(1.198, -0.936)","(5.037, -3.936)"
234,ACRE,235,0.804672,326,5.319776,"(0.667, -0.45)","(4.41, -2.975)"
235,ACRE,236,0.715264,300,4.291583999999999,"(0.358, -0.619)","(2.146, -3.717)"
236,ACRE,237,1.519936,218,8.806688,"(-1.198, -0.936)","(-6.94, -5.422)"
237,ACRE,238,1.609344,3,5.9009279999999995,"(1.607, 0.084)","(5.893, 0.309)"
238,ACRE,239,1.519936,96,4.515104,"(-0.159, 1.512)","(-0.472, 4.49)"
239,ACRE,240,2.90576,179,14.707616,"(-2.905, 0.051)","(-14.705, 0.257)"
240,ACRE,241,3.218688,196,13.098272,"(-3.094, -0.887)","(-12.591, -3.61)"
241,ACRE,242,2.90576,282,10.416032,"(0.604, -2.842)","(2.166, -10.188)"
242,ACRE,243,2.01168,288,7.197344,"(0.622, -1.913)","(2.224, -6.845)"
243,ACRE,244,1.207008,236,4.783328,"(-0.675, -1.001)","(-2.675, -3.966)"
244,ACRE,245,0.983488,172,5.319776,"(-0.974, 0.137)","(-5.268, 0.74)"
245,ACRE,246,0.983488,144,3.978656,"(-0.796, 0.578)","(-3.219, 2.339)"
246,ACRE,247,1.6987519999999998,66,5.588,"(0.691, 1.552)","(2.273, 5.105)"
247,ACRE,248,2.503424,56,6.079744,"(1.4, 2.075)","(3.4, 5.04)"
248,ACRE,249,1.78816,58,6.079744,"(0.948, 1.516)","(3.222, 5.156)"
249,ACRE,250,1.6987519999999998,7,7.689088,"(1.686, 0.207)","(7.632, 0.937)"
250,ACRE,251,0.89408,73,5.588,"(0.261, 0.855)","(1.634, 5.344)"
251,ACRE,252,0.89408,168,6.392672,"(-0.875, 0.186)","(-6.253, 1.329)"
252,ACRE,253,0.89408,207,5.9009279999999995,"(-0.797, -0.406)","(-5.258, -2.679)"
253,ACRE,254,2.90576,260,10.103104,"(-0.505, -2.862)","(-1.754, -9.95)"
254,ACRE,255,3.308096,251,10.103104,"(-1.077, -3.128)","(-3.289, -9.553)"
255,ACRE,256,1.385824,281,6.079744,"(0.264, -1.36)","(1.16, -5.968)"
256,ACRE,257,0.402336,330,4.291583999999999,"(0.348, -0.201)","(3.717, -2.146)"
257,ACRE,258,0.402336,222,4.291583999999999,"(-0.299, -0.269)","(-3.189, -2.872)"
258,ACRE,259,0.89408,189,6.392672,"(-0.883, -0.14)","(-6.314, -1.0)"
259,ACRE,260,2.101088,205,8.002016,"(-1.904, -0.888)","(-7.252, -3.382)"
