Day,station,day,speed,direction,gust,avgvect,gustvect
65,SIPAC,66,3.79984,272,14.886432,"(0.133, -3.798)","(0.52, -14.877)"
66,SIPAC,67,1.296416,352,6.392672,"(1.284, -0.18)","(6.33, -0.89)"
67,SIPAC,68,1.609344,316,7.5102720000000005,"(1.158, -1.118)","(5.402, -5.217)"
68,SIPAC,69,1.296416,35,5.9009279999999995,"(1.062, 0.744)","(4.834, 3.385)"
69,SIPAC,70,2.68224,315,11.488928,"(1.897, -1.897)","(8.124, -8.124)"
70,SIPAC,71,4.380992,306,12.785344,"(2.575, -3.544)","(7.515, -10.344)"
71,SIPAC,72,3.084576,202,12.2936,"(-2.86, -1.156)","(-11.398, -4.605)"
72,SIPAC,73,2.2799039999999997,185,9.879584000000001,"(-2.271, -0.199)","(-9.842, -0.861)"
73,SIPAC,74,0.89408,239,5.9009279999999995,"(-0.46, -0.766)","(-3.039, -5.058)"
74,SIPAC,75,0.983488,127,7.5102720000000005,"(-0.592, 0.785)","(-4.52, 5.998)"
75,SIPAC,76,0.804672,190,6.7056,"(-0.792, -0.14)","(-6.604, -1.164)"
76,SIPAC,77,2.101088,159,9.879584000000001,"(-1.962, 0.753)","(-9.223, 3.541)"
77,SIPAC,78,3.3975039999999996,231,10.684256,"(-2.138, -2.64)","(-6.724, -8.303)"
78,SIPAC,79,1.519936,218,6.392672,"(-1.198, -0.936)","(-5.037, -3.936)"
79,SIPAC,80,1.609344,157,8.49376,"(-1.481, 0.629)","(-7.819, 3.319)"
80,SIPAC,81,2.503424,91,10.103104,"(-0.044, 2.503)","(-0.176, 10.102)"
81,SIPAC,82,3.3975039999999996,198,13.902944,"(-3.231, -1.05)","(-13.222, -4.296)"
82,SIPAC,83,3.084576,213,13.098272,"(-2.587, -1.68)","(-10.985, -7.134)"
83,SIPAC,84,3.084576,250,13.098272,"(-1.055, -2.899)","(-4.48, -12.308)"
84,SIPAC,85,4.380992,292,14.394688,"(1.641, -4.062)","(5.392, -13.347)"
