WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-85.2104465137446 40.3742293322332)",IN000094,Dunkirk Police Dept,118 S Main St,Dunkirk,47336-1250, , ,1442, ,{D5CA9EE3-76D6-475C-9F1A-A7F95A10988A},-85.2104465137446,40.3742293322332
"POINT (-85.467118606226 38.7141194627682)",CO798757,Hanover Police Dept,11 N Madison Ave,Hanover,47243-9696, , ,1442,CountyApproved,{710ED583-D0D6-49A7-8079-7783953CAB4D},-85.467118606226,38.7141194627682
"POINT (-86.4710101091212 38.7287802983645)",CO781081,Mitchell Police Dept,407 S 6th St,Mitchell,47446-1710, , ,1442,CountyApproved,{2E23850B-1BE3-4F77-B6FE-C6D295C81020},-86.4710101091212,38.7287802983645
"POINT (-86.4824403089435 38.8623103892835)",CO781079,Lawrence County Sheriff,1420 I St,Bedford,47421-3324, , ,1442,CountyApproved,{D931C0B9-BB7B-42BA-853A-0509D79E54C3},-86.4824403089435,38.8623103892835
"POINT (-86.4858203136527 38.8605403928204)",CO781080,Bedford Police Dept,1617 K St,Bedford,47421-3725, , ,1442,CountyApproved,{C06308D0-7ABC-40E1-8D30-92BED2F02149},-86.4858203136527,38.8605403928204
"POINT (-86.5262304040813 38.9009804360944)",CO781078,Oolitic Police Dept,109 Main St,Oolitic,47451-9603, , ,1442,CountyApproved,{2B0C318A-11FB-4B98-A068-59A0B8FBAEBF},-86.5262304040813,38.9009804360944
"POINT (-84.8723658698786 41.4296896785581)",IN000100,Butler Police Dept,120 W Main St,Butler,46721-1322, , ,1442, ,{9738911B-B7E3-4734-B9B0-C9D7D50AE54A},-84.8723658698786,41.4296896785581
"POINT (-86.4645695306986 38.3298492288202)",CO610678,Crawford County Sheriff's Dept,Court St,English,47118, ,812-338-2802,1442,"Updated by TPC, 10/15/05",{A82DBE93-61B0-45E5-91B8-551DAC2C3E17},-86.4645695306986,38.3298492288202
"POINT (-85.238746483084 41.3654998423336)",IN000086,Avilla Police Dept,117 S Main St,Avilla,46710-0000, , ,1442, ,{D978B78C-FA4B-4D86-A007-81F114096866},-85.238746483084,41.3654998423336
"POINT (-85.0816964615672 41.533049723937)",IN000089,Hudson Police Dept,115 W Parsonage St,Hudson,46747-0000, , ,1442, ,{599B90B5-0252-4E2E-8230-EE8DC50FB2BD},-85.0816964615672,41.533049723937
"POINT (-86.1397862314372 39.7508910316434)",IN000091,Indianapolis Police Dept,1150 Shelby St,Indianapolis,46203-1166, , ,1442, ,{3DC3B978-3B3F-4084-A4A6-0F66E158A756},-86.1397862314372,39.7508910316434
"POINT (-85.9612751807517 39.7762008322154)",IN000092,Cumberland Police Dept,11501 E Washington St,Cumberland,46229-2827, , ,1442, ,{2549CEEC-6CB5-4988-9E77-4A1B99F6D0D7},-85.9612751807517,39.7762008322154
"POINT (-87.9345397913842 38.129787266264)",CO782036,New Harmony Police Dept,520 E Church St,New Harmony,47631-0000, , ,1442,CountyApproved,{0C89B7FA-1101-4824-89BF-11C0B202D715},-87.9345397913842,38.129787266264
"POINT (-87.708479667479 38.1876074519911)",CO782034,Cynthiana Police Dept,10868 Main St,Cynthiana,47612-0000, , ,1442,CountyApproved,{85A0CB35-D17D-4A3C-B83C-11AFFBC2F110},-87.708479667479,38.1876074519911
"POINT (-85.7451865206813 40.0024399708268)",IN000107,Pendleton Police Dept,122 E State St,Pendleton,46064-1027, , ,1442, ,{BF6EE36C-4763-4E40-A38A-DA4A0423ADBF},-85.7451865206813,40.0024399708268
"POINT (-86.2773991072336 38.3427791663556)",CO610679,Milltown Police Dept,207 Poplar St,Milltown,47145, ,812-633-2045,1442,"Added by TPC, 10/15/05",{7978F4BE-7539-471B-BCA2-859B9B3C64DA},-86.2773991072336,38.3427791663556
"POINT (-85.6293275452788 39.4275394344257)",CO755995,St Paul Police Department,"108 Webster Street
",St Paul,47272, , ,1442,CountyApproved,{2D3AF32D-18AE-4681-A571-745BCE84039F},-85.6293275452788,39.4275394344257
"POINT (-84.822826060654 41.7305196822941)",IN000110,Clear Lake Police Dept,122 Outer Drive Clear Lk,Fremont,46737-9513, , ,1442, ,{83AA60AA-686D-4AF2-AE87-BB254512E8D9},-84.822826060654,41.7305196822941
"POINT (-85.7681357085717 39.7851702101224)",IN000114,Hancock County Sheriff Dept,123 E Main St,Greenfield,46140-2347, , ,1442, ,{E14B89CA-5832-438C-AF6D-FAFF539D0E2F},-85.7681357085717,39.7851702101224
"POINT (-85.3760168405388 41.4930697205915)",IN000115,Rome City Police Dept,123 Kerr Ave,Rome City,46784-1029, , ,1442, ,{D3647FEB-9E87-4F54-ADF0-48CE479845D8},-85.3760168405388,41.4930697205915
"POINT (-87.9104995518075 37.9366877045939)",CO782035,Posey County Sheriff and Jail,1201 Odonnell Rd,Mt Vernon,47620-9224, , ,1442,CountyApproved,{DF20177D-57F3-407A-8D3A-3DD490A62DC0},-87.9104995518075,37.9366877045939
"POINT (-85.921168527897 39.199470394872)",IN000118,Police Dept-Investigations,123 Washington St # 11,Columbus,47201-6774, , ,1442, ,{BB1ECD99-5895-4380-B721-B39C46FCB775},-85.921168527897,39.199470394872
"POINT (-85.921168527897 39.199470394872)",IN000119,Police Chief's Office,123 Washington St,Columbus,47201-6774, , ,1442, ,{E27ABD33-44A2-483D-9FF7-B83CC565B7E9},-85.921168527897,39.199470394872
"POINT (-86.62173982459 38.5470100892125)",CO659987,French Lick Police Dept,122 Indiana Ave,French Lick,47432-1045, ,812-936-9811,1442, ,{03F2EAD1-C655-4D09-9E44-6DB6EAB9E840},-86.62173982459,38.5470100892125
"POINT (-85.1705661670278 41.2002997484777)",IN000123,Allen County Sheriff Criminal,12535 Lima Rd,Fort Wayne,46818-8903, , ,1442, ,{C1B1E506-3DE5-42E6-A8D5-854A50FFA602},-85.1705661670278,41.2002997484777
"POINT (-86.0134650283728 40.0443217887629)",IN000138,Noblesville Police Dept,135 S 9th St,Noblesville,46060-2620, , ,1442, ,{F42C5E10-1E2F-44EE-8D21-252A7CB79C82},-86.0134650283728,40.0443217887629
"POINT (-85.3863564467255 40.1827194538447)",IN000142,Muncie Police DEPT-Pal Club,1405 S Walnut St,Muncie,47302-3264, , ,1442, ,{3581244F-B329-4EA3-BAA1-38FE3DE87338},-85.3863564467255,40.1827194538447
"POINT (-85.7015363519215 40.1016596034571)",IN000143,Anderson Police Dept,1407 Arrow Ave,Anderson,46016-3231, , ,1442, ,{40290D80-E48E-4363-873D-C630D1AC4B6B},-85.7015363519215,40.1016596034571
